Ts_code,Date,Open,High,Low,Close,Pre_close,Change,Pct_chg,Vol,Amount
002216.SZ,2008-02-20,52.8,56.0,52.8,54.37,21.59,32.78,151.83,147699.97,803884.356
002216.SZ,2008-02-21,56.0,57.4,54.71,54.85,54.37,0.48,0.88,77123.95,432724.2727
002216.SZ,2008-02-22,54.96,58.9,54.96,57.76,54.85,2.91,5.31,49185.04,280868.6613
002216.SZ,2008-02-25,56.99,57.9,55.11,55.75,57.76,-2.01,-3.48,29956.36,169388.3281
002216.SZ,2008-02-26,56.99,56.99,50.18,51.81,55.75,-3.94,-7.07,41580.55,218706.7511
002216.SZ,2008-02-27,51.0,52.7,49.52,52.19,51.81,0.38,0.73,18528.31,94605.2285
002216.SZ,2008-02-28,51.45,51.46,49.41,49.99,52.19,-2.2,-4.22,15970.68,80192.0706
002216.SZ,2008-02-29,49.01,51.88,49.01,51.14,49.99,1.15,2.3,12408.14,63052.0661
002216.SZ,2008-03-03,51.15,52.2,50.23,51.73,51.14,0.59,1.15,11993.82,61714.5651
002216.SZ,2008-03-04,51.78,51.78,49.48,49.66,51.73,-2.07,-4.0,14247.35,71897.6795
002216.SZ,2008-03-05,48.88,49.5,45.5,46.48,49.66,-3.18,-6.4,14837.21,70007.9058
002216.SZ,2008-03-06,46.11,47.3,44.6,46.0,46.48,-0.48,-1.03,10385.52,47551.3018
002216.SZ,2008-03-07,45.47,47.4,44.0,46.51,46.0,0.51,1.11,7963.94,36558.9958
002216.SZ,2008-03-10,45.88,46.1,44.6,44.99,46.51,-1.52,-3.27,6157.02,27787.2045
002216.SZ,2008-03-11,44.3,45.26,42.54,44.27,44.99,-0.72,-1.6,6598.12,28935.7026
002216.SZ,2008-03-12,45.0,45.1,41.9,41.9,44.27,-2.37,-5.35,7814.07,33660.5318
002216.SZ,2008-03-13,41.0,42.5,40.06,41.0,41.9,-0.9,-2.15,7051.64,28750.3665
002216.SZ,2008-03-14,40.75,41.48,39.9,40.15,41.0,-0.85,-2.07,5204.61,21005.689
002216.SZ,2008-03-17,39.98,39.98,36.14,36.14,40.15,-4.01,-9.99,12070.59,45532.6681
002216.SZ,2008-03-18,35.79,36.55,33.1,33.65,36.14,-2.49,-6.89,10447.62,36094.7937
002216.SZ,2008-03-19,34.36,36.35,34.1,35.62,33.65,1.97,5.85,10579.16,37481.0327
002216.SZ,2008-03-20,34.65,37.26,33.1,36.5,35.62,0.88,2.47,10475.48,37161.9466
002216.SZ,2008-03-21,36.61,38.29,35.9,37.55,36.5,1.05,2.88,8153.23,30583.0387
002216.SZ,2008-03-24,37.6,37.95,35.7,35.7,37.55,-1.85,-4.93,5505.51,20052.0948
002216.SZ,2008-03-25,35.4,37.0,34.11,36.9,35.7,1.2,3.36,6144.21,21807.29
002216.SZ,2008-03-26,36.3,37.99,35.68,37.05,36.9,0.15,0.41,7230.71,26944.4743
002216.SZ,2008-03-27,36.0,36.8,35.1,35.3,37.05,-1.75,-4.72,4280.79,15342.9227
002216.SZ,2008-03-28,35.21,36.4,34.0,36.4,35.3,1.1,3.12,5093.73,17977.0013
002216.SZ,2008-03-31,35.0,35.8,34.3,35.4,36.4,-1.0,-2.75,3945.39,13811.2035
002216.SZ,2008-04-01,34.99,34.99,31.86,31.86,35.4,-3.54,-10.0,10244.65,33160.8535
002216.SZ,2008-04-02,31.3,32.5,28.67,28.76,31.86,-3.1,-9.73,9786.79,29162.5387
002216.SZ,2008-04-03,28.76,29.78,27.72,29.29,28.76,0.53,1.84,6513.53,18702.2146
002216.SZ,2008-04-07,29.0,31.52,28.03,31.38,29.29,2.09,7.14,6917.18,21043.3541
002216.SZ,2008-04-08,31.0,32.5,31.0,32.2,31.38,0.82,2.61,7108.94,22567.7617
002216.SZ,2008-04-09,32.0,34.28,31.2,31.92,32.2,-0.28,-0.87,9243.66,30572.9793
002216.SZ,2008-04-10,31.48,31.65,29.88,31.5,31.92,-0.42,-1.32,6825.08,21067.7575
002216.SZ,2008-04-11,31.5,32.5,31.03,31.41,31.5,-0.09,-0.29,4261.73,13551.11
002216.SZ,2008-04-14,30.45,30.66,28.8,29.5,31.41,-1.91,-6.08,5759.29,17061.3447
002216.SZ,2008-04-15,28.7,30.36,28.7,30.2,29.5,0.7,2.37,3376.62,9925.1585
002216.SZ,2008-04-16,29.88,30.34,29.05,29.2,30.2,-1.0,-3.31,1395.04,4126.7989
002216.SZ,2008-04-17,29.0,29.78,27.01,27.8,29.2,-1.4,-4.79,3097.37,8860.4418
002216.SZ,2008-04-18,27.8,27.9,26.4,26.78,27.8,-1.02,-3.67,4838.49,13140.9311
002216.SZ,2008-04-21,28.52,29.1,26.6,26.85,26.78,0.07,0.26,5663.17,15679.5153
002216.SZ,2008-04-22,26.51,28.25,26.5,28.2,26.85,1.35,5.03,4462.18,12230.2436
002216.SZ,2008-04-23,27.85,29.28,27.78,28.98,28.2,0.78,2.77,3777.88,10847.1539
002216.SZ,2008-04-24,31.68,31.88,30.6,31.88,28.98,2.9,10.01,16994.22,53678.2368
002216.SZ,2008-04-25,31.4,33.88,31.01,32.95,31.88,1.07,3.36,13022.9,43018.2694
002216.SZ,2008-04-28,32.58,32.95,31.6,31.9,32.95,-1.05,-3.19,7941.54,25704.6569
002216.SZ,2008-04-29,31.85,33.38,31.85,32.66,31.9,0.76,2.38,5161.9,16913.2295
002216.SZ,2008-04-30,33.15,34.58,32.67,34.46,32.66,1.8,5.51,8565.7,29048.0993
002216.SZ,2008-05-05,34.8,35.4,33.82,35.15,34.46,0.69,2.0,6021.36,20759.5326
002216.SZ,2008-05-06,34.8,34.99,33.8,34.21,35.15,-0.94,-2.67,5846.66,20046.0083
002216.SZ,2008-05-07,33.83,34.21,32.73,32.8,34.21,-1.41,-4.12,6381.38,21325.3736
002216.SZ,2008-05-08,32.69,33.58,32.32,33.47,32.8,0.67,2.04,5066.24,16720.938
002216.SZ,2008-05-09,33.85,34.15,32.62,33.2,33.47,-0.27,-0.81,4669.69,15563.2792
002216.SZ,2008-05-12,32.6,35.21,32.02,34.88,33.2,1.68,5.06,7147.63,24242.7523
002216.SZ,2008-05-13,34.0,37.4,33.77,36.99,34.88,2.11,6.05,15379.49,55646.1933
002216.SZ,2008-05-14,37.08,37.88,35.8,37.29,36.99,0.3,0.81,7325.18,27043.1959
002216.SZ,2008-05-15,37.8,37.98,36.6,36.6,37.29,-0.69,-1.85,6658.07,24894.7459
002216.SZ,2008-05-16,36.3,36.88,35.0,35.32,36.6,-1.28,-3.5,5606.92,20047.9571
002216.SZ,2008-05-19,35.0,35.8,34.57,35.0,35.32,-0.32,-0.91,3147.13,11120.4153
002216.SZ,2008-05-21,31.74,34.65,31.71,33.44,35.0,-1.56,-4.46,31742.65,103226.4113
002216.SZ,2008-05-22,32.9,34.3,31.75,33.0,33.44,-0.44,-1.32,11872.27,39062.6596
002216.SZ,2008-05-23,33.1,33.1,31.75,32.0,33.0,-1.0,-3.03,6336.27,20487.834
002216.SZ,2008-05-26,31.59,32.1,30.2,30.4,32.0,-1.6,-5.0,6795.52,21037.2206
002216.SZ,2008-05-27,30.12,31.58,30.12,31.1,30.4,0.7,2.3,4470.03,13861.845
002216.SZ,2008-05-28,31.1,32.14,30.92,32.11,31.1,1.01,3.25,4450.64,13961.4913
002216.SZ,2008-05-29,32.38,32.38,31.6,31.86,32.11,-0.25,-0.78,3239.98,10371.5665
002216.SZ,2008-05-30,31.85,32.58,31.8,32.16,31.86,0.3,0.94,2125.76,6800.9518
002216.SZ,2008-06-02,32.3,32.7,31.88,32.7,32.16,0.54,1.68,3359.29,10849.9229
002216.SZ,2008-06-03,32.88,35.78,32.75,35.55,32.7,2.85,8.72,11246.75,38863.2669
002216.SZ,2008-06-04,34.8,35.92,34.5,34.89,35.55,-0.66,-1.86,7120.27,24950.9079
002216.SZ,2008-06-05,34.89,36.5,34.6,35.5,34.89,0.61,1.75,8987.59,32266.6612
002216.SZ,2008-06-06,35.55,36.28,33.7,34.3,35.5,-1.2,-3.38,6093.7,21314.5913
002216.SZ,2008-06-10,33.01,33.19,31.5,31.51,34.3,-2.79,-8.13,9631.93,31106.2134
002216.SZ,2008-06-11,31.5,32.27,30.97,31.85,31.51,0.34,1.08,4710.62,14974.5223
002216.SZ,2008-06-12,30.11,31.84,30.11,31.5,31.85,-0.35,-1.1,5336.59,16502.0219
002216.SZ,2008-06-13,32.0,32.0,30.68,31.0,31.5,-0.5,-1.59,5391.06,16798.2164
002216.SZ,2008-06-16,31.49,32.6,30.7,32.48,31.0,1.48,4.77,6108.97,19334.6129
002216.SZ,2008-06-17,32.48,35.73,32.3,35.1,32.48,2.62,8.07,24700.93,87427.5383
002216.SZ,2008-06-18,34.65,37.35,33.88,36.26,35.1,1.16,3.3,14747.68,52831.0462
002216.SZ,2008-06-19,35.8,36.68,32.63,32.63,36.26,-3.63,-10.01,12138.49,41623.1008
002216.SZ,2008-06-20,32.01,35.89,30.3,35.89,32.63,3.26,9.99,14924.49,50713.945
002216.SZ,2008-06-23,36.0,37.9,35.0,37.3,35.89,1.41,3.93,17848.22,66053.0341
002216.SZ,2008-06-24,37.59,39.06,36.08,37.25,37.3,-0.05,-0.13,18249.79,68587.5445
002216.SZ,2008-06-25,36.88,40.98,36.5,40.98,37.25,3.73,10.01,18652.99,74553.9318
002216.SZ,2008-06-26,41.6,43.66,40.5,42.3,40.98,1.32,3.22,18455.45,77276.4239
002216.SZ,2008-06-27,41.95,41.95,38.2,38.39,42.3,-3.91,-9.24,16519.91,65964.3383
002216.SZ,2008-06-30,38.0,42.23,37.8,42.23,38.39,3.84,10.0,10490.89,42166.5465
002216.SZ,2008-07-01,42.23,44.3,41.0,41.91,42.23,-0.32,-0.76,12183.23,52081.0899
002216.SZ,2008-07-02,42.02,42.49,39.8,41.2,41.91,-0.71,-1.69,10031.82,40915.9729
002216.SZ,2008-07-03,40.11,43.83,39.93,42.8,41.2,1.6,3.88,10088.58,42740.8605
002216.SZ,2008-07-04,42.69,43.5,40.5,41.0,42.8,-1.8,-4.21,10300.38,42975.2347
002216.SZ,2008-07-07,40.9,42.44,39.51,41.41,41.0,0.41,1.0,13070.4,53576.5886
002216.SZ,2008-07-08,40.98,41.3,38.8,39.91,41.41,-1.5,-3.62,13525.31,54191.271
002216.SZ,2008-07-09,39.7,43.9,38.82,43.9,39.91,3.99,10.0,25779.12,109117.9092
002216.SZ,2008-07-10,43.5,45.89,42.55,42.55,43.9,-1.35,-3.08,20214.99,89419.8086
002216.SZ,2008-07-11,42.05,42.86,40.4,41.35,42.55,-1.2,-2.82,9995.86,41099.7507
002216.SZ,2008-07-14,40.76,42.97,40.66,41.87,41.35,0.52,1.26,8694.47,36163.4295
002216.SZ,2008-07-15,41.8,42.8,39.88,40.21,41.87,-1.66,-3.96,9567.8,38854.6423
002216.SZ,2008-07-16,40.02,40.15,38.77,39.09,40.21,-1.12,-2.79,6880.93,27034.3815
