Ts_code,Date,Open,High,Low,Close,Pre_close,Change,Pct_chg,Vol,Amount
600690.SH,2000-07-03,18.9,18.95,18.5,18.53,19.0,-0.47,-2.47,16287.0,30451.303
600690.SH,2000-07-04,18.52,18.75,18.4,18.52,18.53,-0.01,-0.05,11678.0,21615.51
600690.SH,2000-07-05,18.5,18.68,18.45,18.48,18.52,-0.04,-0.22,11235.0,20787.819
600690.SH,2000-07-06,18.48,18.5,18.3,18.31,18.48,-0.17,-0.92,11022.0,20227.21
600690.SH,2000-07-07,18.35,18.6,18.32,18.55,18.31,0.24,1.31,7726.0,14298.214
600690.SH,2000-07-10,18.55,18.58,18.35,18.5,18.55,-0.05,-0.27,12543.0,23065.13
600690.SH,2000-07-11,18.5,18.8,18.33,18.79,18.5,0.29,1.57,15048.0,28003.153
600690.SH,2000-07-12,18.8,19.05,18.61,18.9,18.79,0.11,0.59,15894.0,29968.894
600690.SH,2000-07-13,19.0,19.18,18.78,19.1,18.9,0.2,1.06,26786.0,50958.208
600690.SH,2000-07-14,19.18,19.28,18.85,18.91,19.1,-0.19,-0.99,13346.0,25393.662
600690.SH,2000-07-17,18.9,18.95,18.5,18.52,18.91,-0.39,-2.06,16034.0,29926.812
600690.SH,2000-07-18,18.55,19.1,18.55,18.81,18.52,0.29,1.57,10433.0,19673.194
600690.SH,2000-07-19,18.98,19.0,18.65,18.7,18.81,-0.11,-0.58,10856.0,20364.339
600690.SH,2000-07-20,18.7,18.8,18.58,18.6,18.7,-0.1,-0.53,8956.0,16710.423
600690.SH,2000-07-21,18.62,18.7,18.5,18.61,18.6,0.01,0.05,8973.0,16665.404
600690.SH,2000-07-24,18.65,19.06,18.65,18.87,18.61,0.26,1.4,17168.0,32505.125
600690.SH,2000-07-25,18.91,19.0,18.69,18.72,18.87,-0.15,-0.79,9593.0,18036.843
600690.SH,2000-07-26,18.8,18.8,18.53,18.64,18.72,-0.08,-0.43,13391.0,24978.852
600690.SH,2000-07-27,18.68,19.2,18.68,18.98,18.64,0.34,1.82,22910.0,43501.292
600690.SH,2000-07-28,19.0,19.05,18.76,18.84,18.98,-0.14,-0.74,11996.0,22633.445
600690.SH,2000-07-31,18.84,19.0,18.6,18.89,18.84,0.05,0.27,10721.0,20123.901
600690.SH,2000-08-01,19.0,19.0,18.76,18.8,18.89,-0.09,-0.48,8866.0,16722.824
600690.SH,2000-08-02,18.8,18.85,18.48,18.6,18.8,-0.2,-1.06,18516.0,34424.576
600690.SH,2000-08-03,18.6,18.76,18.55,18.67,18.6,0.07,0.38,10735.0,20037.139
600690.SH,2000-08-04,18.7,18.75,18.5,18.67,18.67,0.0,0.0,12925.0,24097.813
600690.SH,2000-08-07,18.65,18.65,18.5,18.55,18.67,-0.12,-0.64,11921.0,22104.885
600690.SH,2000-08-08,18.6,18.74,18.55,18.65,18.55,0.1,0.54,11202.0,20851.798
600690.SH,2000-08-09,18.65,19.2,18.63,19.15,18.65,0.5,2.68,34393.0,65490.842
600690.SH,2000-08-10,19.2,19.28,19.0,19.21,19.15,0.06,0.31,24578.0,47070.265
600690.SH,2000-08-11,19.25,19.88,19.25,19.45,19.21,0.24,1.25,52263.0,102431.486
600690.SH,2000-08-14,19.55,19.75,19.3,19.34,19.45,-0.11,-0.57,17885.0,34860.505
600690.SH,2000-08-15,19.37,19.5,19.1,19.18,19.34,-0.16,-0.83,12029.0,23113.97
600690.SH,2000-08-16,19.18,19.48,19.0,19.3,19.18,0.12,0.63,11502.0,22085.605
600690.SH,2000-08-17,19.3,19.8,19.12,19.32,19.3,0.02,0.1,19481.0,37914.071
600690.SH,2000-08-18,19.35,19.65,19.32,19.58,19.32,0.26,1.35,18816.0,36652.81
600690.SH,2000-08-21,19.58,20.1,19.58,19.87,19.58,0.29,1.48,49203.0,97848.534
600690.SH,2000-08-22,19.91,19.98,19.3,19.35,19.87,-0.52,-2.62,32005.0,63407.604
600690.SH,2000-08-23,19.24,20.45,18.6,20.17,19.35,0.82,4.24,140513.0,279729.725
600690.SH,2000-08-24,20.2,21.1,19.99,20.5,20.17,0.33,1.64,108564.0,222867.561
600690.SH,2000-08-25,20.51,20.6,20.15,20.39,20.5,-0.11,-0.54,37715.0,76831.342
600690.SH,2000-08-28,20.3,20.3,19.79,20.01,20.39,-0.38,-1.86,48448.0,96682.858
600690.SH,2000-08-29,20.0,20.04,19.58,19.69,20.01,-0.32,-1.6,30720.0,60772.71
600690.SH,2000-08-30,19.69,20.08,19.5,19.74,19.69,0.05,0.25,26179.0,51820.224
600690.SH,2000-08-31,19.69,19.88,19.18,19.23,19.74,-0.51,-2.58,26009.0,50858.234
600690.SH,2000-09-01,19.18,19.43,19.0,19.01,19.23,-0.22,-1.14,18674.0,35814.273
600690.SH,2000-09-04,19.01,19.12,18.71,19.08,19.01,0.07,0.37,12992.0,24606.68
600690.SH,2000-09-05,19.08,19.28,18.76,18.81,19.08,-0.27,-1.42,12415.0,23589.044
600690.SH,2000-09-06,18.8,19.16,18.68,18.94,18.81,0.13,0.69,18632.5,35338.258
600690.SH,2000-09-07,18.85,19.25,18.85,19.07,18.94,0.13,0.69,11996.0,22889.905
600690.SH,2000-09-08,19.07,19.16,18.9,19.06,19.07,-0.01,-0.05,8527.0,16229.9
600690.SH,2000-09-11,19.02,19.5,18.9,19.46,19.06,0.4,2.1,12747.0,24505.539
600690.SH,2000-09-12,19.48,19.99,19.46,19.84,19.46,0.38,1.95,28661.0,56732.65
600690.SH,2000-09-13,19.96,20.2,19.7,19.86,19.84,0.02,0.1,45363.0,90440.499
600690.SH,2000-09-14,20.0,20.02,19.5,19.6,19.86,-0.26,-1.31,17508.0,34501.373
600690.SH,2000-09-15,19.8,20.5,19.68,20.06,19.6,0.46,2.35,72689.0,146956.754
600690.SH,2000-09-18,20.3,20.4,19.91,19.94,20.06,-0.12,-0.6,26723.0,53915.445
600690.SH,2000-09-19,19.81,20.18,19.53,20.17,19.94,0.23,1.15,32973.0,65806.781
600690.SH,2000-09-20,20.2,20.34,20.01,20.18,20.17,0.01,0.05,21586.0,43527.727
600690.SH,2000-09-21,20.3,21.19,20.29,20.64,20.18,0.46,2.28,107697.0,224345.933
600690.SH,2000-09-22,20.66,20.97,20.41,20.85,20.64,0.21,1.02,51126.0,106071.85
