Ts_code,Date,Open,High,Low,Close,Pre_close,Change,Pct_chg,Vol,Amount
002007.SZ,2004-06-25,29.2,31.48,26.2,26.7,15.74,10.96,69.63,143881.24,405772.0852
002007.SZ,2004-06-28,24.03,24.56,24.03,24.03,26.7,-2.67,-10.0,7456.0,17938.473
002007.SZ,2004-06-29,21.63,21.99,21.63,21.63,24.03,-2.4,-9.99,26473.35,57302.7893
002007.SZ,2004-06-30,20.85,21.83,20.82,21.08,21.63,-0.55,-2.54,30203.29,64245.0899
002007.SZ,2004-07-01,21.15,21.55,20.82,20.9,21.08,-0.18,-0.85,15910.41,33789.6457
002007.SZ,2004-07-02,20.94,21.22,19.03,19.64,20.9,-1.26,-6.03,26656.29,52389.0905
002007.SZ,2004-07-05,19.68,19.85,19.1,19.65,19.64,0.01,0.05,11747.9,23034.5717
002007.SZ,2004-07-06,19.5,20.17,19.4,19.69,19.65,0.04,0.2,9927.53,19629.5212
002007.SZ,2004-07-07,19.65,19.7,19.01,19.26,19.69,-0.43,-2.18,9637.35,18635.0094
002007.SZ,2004-07-08,19.15,19.55,19.12,19.3,19.26,0.04,0.21,4423.28,8539.7523
002007.SZ,2004-07-09,19.55,19.68,19.02,19.05,19.3,-0.25,-1.3,6871.86,13359.3965
002007.SZ,2004-07-12,18.8,18.99,17.6,17.71,19.05,-1.34,-7.03,11839.27,21406.1709
002007.SZ,2004-07-13,17.7,17.93,17.09,17.79,17.71,0.08,0.45,7338.23,12848.8221
002007.SZ,2004-07-14,17.7,17.9,17.13,17.89,17.79,0.1,0.56,6772.75,11902.7772
002007.SZ,2004-07-15,17.98,18.78,17.7,18.29,17.89,0.4,2.24,10377.98,19046.7267
002007.SZ,2004-07-16,18.25,19.46,18.1,19.15,18.29,0.86,4.7,14885.24,28205.6743
002007.SZ,2004-07-19,19.16,19.46,18.7,18.95,19.15,-0.2,-1.04,7832.07,14967.5199
002007.SZ,2004-07-20,18.95,19.18,18.7,18.72,18.95,-0.23,-1.21,5541.0,10476.195
002007.SZ,2004-07-21,18.69,19.0,18.03,18.06,18.72,-0.66,-3.53,6948.58,12760.9934
002007.SZ,2004-07-22,18.06,18.48,17.5,17.6,18.06,-0.46,-2.55,5444.5,9784.6676
002007.SZ,2004-07-23,17.59,18.12,17.45,18.05,17.6,0.45,2.56,4638.65,8193.929
002007.SZ,2004-07-26,18.0,18.0,17.31,17.5,18.05,-0.55,-3.05,3353.69,5899.8437
002007.SZ,2004-07-27,17.53,17.6,16.53,16.88,17.5,-0.62,-3.54,6232.82,10628.519
002007.SZ,2004-07-28,16.75,17.39,16.61,17.39,16.88,0.51,3.02,4939.5,8399.1706
002007.SZ,2004-07-29,17.46,18.28,17.21,17.93,17.39,0.54,3.11,7411.23,13237.9684
002007.SZ,2004-07-30,17.93,18.52,17.71,18.28,17.93,0.35,1.95,12339.94,22512.0796
002007.SZ,2004-08-02,18.11,18.95,18.0,18.4,18.28,0.12,0.66,12276.12,22882.3813
002007.SZ,2004-08-03,18.31,19.24,18.3,19.24,18.4,0.84,4.57,12615.04,23714.2387
002007.SZ,2004-08-04,19.08,19.11,18.61,18.86,19.24,-0.38,-1.98,17272.19,32601.3453
002007.SZ,2004-08-05,19.03,20.4,19.0,19.35,18.86,0.49,2.6,23415.22,46163.9548
002007.SZ,2004-08-06,19.32,19.81,18.65,19.45,19.35,0.1,0.52,17780.86,34339.9893
002007.SZ,2004-08-09,19.28,19.32,18.51,18.75,19.45,-0.7,-3.6,7759.02,14632.5424
002007.SZ,2004-08-10,18.61,18.97,18.56,18.83,18.75,0.08,0.43,3755.64,7058.3644
002007.SZ,2004-08-11,18.83,19.31,18.81,18.94,18.83,0.11,0.58,8906.65,16994.4524
002007.SZ,2004-08-12,18.8,19.1,18.43,18.79,18.94,-0.15,-0.79,6200.75,11641.1734
002007.SZ,2004-08-13,18.8,18.95,17.92,18.0,18.79,-0.79,-4.2,6811.0,12527.5989
002007.SZ,2004-08-16,17.91,18.0,16.81,16.9,18.0,-1.1,-6.11,12462.11,21367.5151
002007.SZ,2004-08-17,16.88,17.48,16.83,17.17,16.9,0.27,1.6,5178.41,8924.5571
002007.SZ,2004-08-18,17.18,17.3,16.82,16.92,17.17,-0.25,-1.46,4497.12,7656.0609
002007.SZ,2004-08-19,16.69,17.2,16.68,17.08,16.92,0.16,0.95,3516.07,5978.7358
002007.SZ,2004-08-20,17.26,17.55,17.02,17.44,17.08,0.36,2.11,4707.36,8154.2733
002007.SZ,2004-08-23,17.09,17.18,16.71,16.93,17.44,-0.51,-2.92,3584.06,6089.6244
002007.SZ,2004-08-24,16.9,17.46,16.9,17.05,16.93,0.12,0.71,3508.32,6048.7022
002007.SZ,2004-08-25,17.1,17.1,16.75,16.81,17.05,-0.24,-1.41,2997.48,5059.75
002007.SZ,2004-08-26,16.8,16.82,16.02,16.1,16.81,-0.71,-4.22,5827.56,9527.1058
002007.SZ,2004-08-27,16.15,16.2,15.78,15.97,16.1,-0.13,-0.81,6845.71,10901.8824
002007.SZ,2004-08-30,15.95,16.88,15.79,16.5,15.97,0.53,3.32,5881.09,9687.7475
002007.SZ,2004-08-31,17.08,17.4,16.66,16.66,16.5,0.16,0.97,6956.66,11779.2179
002007.SZ,2004-09-01,16.56,16.62,16.31,16.48,16.66,-0.18,-1.08,1873.25,3089.3795
