Ts_code,Date,Open,High,Low,Close,Pre_close,Change,Pct_chg,Vol,Amount
600837.SH,2000-07-07,3.81,3.81,3.81,3.81,3.63,0.18,4.96,2347.0,894.089
600837.SH,2000-07-14,4.0,4.0,4.0,4.0,3.81,0.19,4.99,2193.0,877.364
600837.SH,2000-07-21,4.2,4.2,4.2,4.2,4.0,0.2,5.0,2585.0,1085.7
600837.SH,2000-07-28,4.41,4.41,4.41,4.41,4.2,0.21,5.0,2257.0,995.161
600837.SH,2000-08-04,4.63,4.63,4.63,4.63,4.41,0.22,4.99,2965.0,1372.934
600837.SH,2000-08-11,4.8,4.8,4.8,4.8,4.63,0.17,3.67,3167.0,1520.16
600837.SH,2000-08-18,4.9,4.9,4.9,4.9,4.8,0.1,2.08,4218.0,2067.031
600837.SH,2000-08-25,5.0,5.0,5.0,5.0,4.9,0.1,2.04,5672.0,2836.0
600837.SH,2000-09-01,4.95,4.95,4.95,4.95,5.0,-0.05,-1.0,3612.0,1787.94
600837.SH,2000-09-08,4.8,4.8,4.8,4.8,4.95,-0.15,-3.03,3633.0,1743.84
600837.SH,2000-09-15,4.8,4.8,4.8,4.8,4.8,0.0,0.0,4063.0,1950.24
600837.SH,2000-09-22,4.8,4.8,4.8,4.8,4.8,0.0,0.0,2672.0,1282.56
600837.SH,2000-09-29,5.03,5.03,5.03,5.03,4.8,0.23,4.79,2986.0,1501.958
600837.SH,2000-10-13,5.28,5.28,5.28,5.28,5.03,0.25,4.97,2168.0,1144.493
600837.SH,2000-10-20,5.54,5.54,5.54,5.54,5.28,0.26,4.92,2987.0,1654.743
600837.SH,2000-10-27,5.82,5.82,5.82,5.82,5.54,0.28,5.05,2652.0,1543.196
600837.SH,2000-11-03,6.11,6.11,6.11,6.11,5.82,0.29,4.98,3558.0,2173.822
600837.SH,2000-11-10,6.42,6.42,6.42,6.42,6.11,0.31,5.07,4309.0,2766.532
600837.SH,2000-11-17,6.74,6.74,6.74,6.74,6.42,0.32,4.98,4518.0,3044.822
600837.SH,2000-11-24,7.08,7.08,7.08,7.08,6.74,0.34,5.04,3785.29,2679.985
600837.SH,2000-12-01,7.43,7.43,7.43,7.43,7.08,0.35,4.94,4351.5,3233.164
600837.SH,2000-12-08,7.8,7.8,7.8,7.8,7.43,0.37,4.98,3058.0,2385.24
600837.SH,2000-12-15,8.19,8.19,8.19,8.19,7.8,0.39,5.0,3710.0,3038.49
600837.SH,2000-12-22,8.59,8.59,8.59,8.59,8.19,0.4,4.88,2642.0,2269.478
600837.SH,2000-12-29,7.9,7.9,7.9,7.9,8.59,-0.69,-8.03,2077.0,1640.83
600837.SH,2001-01-05,7.18,7.18,7.18,7.18,7.9,-0.72,-9.11,3707.0,2661.626
600837.SH,2001-01-12,6.8,6.8,6.8,6.8,7.18,-0.38,-5.29,5995.96,4077.253
600837.SH,2001-01-19,6.81,6.81,6.81,6.81,6.8,0.01,0.15,4407.5,3001.508
600837.SH,2001-02-09,6.0,6.0,6.0,6.0,6.81,-0.81,-11.89,2791.0,1674.6
600837.SH,2001-02-16,4.9,4.9,4.9,4.9,6.0,-1.1,-18.33,1997.0,978.53
600837.SH,2001-02-23,3.8,3.8,3.8,3.8,4.9,-1.1,-22.45,6988.0,2655.44
600837.SH,2001-03-02,3.99,3.99,3.99,3.99,3.8,0.19,5.0,7681.26,3064.823
600837.SH,2001-03-09,4.19,4.19,4.19,4.19,3.99,0.2,5.01,1887.1,790.695
600837.SH,2001-03-16,4.4,4.4,4.4,4.4,4.19,0.21,5.01,1909.93,840.369
600837.SH,2001-03-23,4.6,4.6,4.6,4.6,4.4,0.2,4.55,6143.41,2825.969
600837.SH,2001-03-30,4.58,4.58,4.58,4.58,4.6,-0.02,-0.43,3881.0,1777.498
600837.SH,2001-04-06,4.81,4.81,4.81,4.81,4.58,0.23,5.02,7479.02,3597.409
600837.SH,2001-04-13,5.05,5.05,5.05,5.05,4.81,0.24,4.99,12951.97,6540.745
600837.SH,2001-07-06,5.3,5.3,5.3,5.3,5.05,0.25,4.95,60.0,31.8
600837.SH,2001-07-13,5.57,5.57,5.57,5.57,5.3,0.27,5.09,140.0,77.98
600837.SH,2001-07-20,5.85,5.85,5.85,5.85,5.57,0.28,5.03,55.6,32.526
600837.SH,2001-07-27,6.14,6.14,6.14,6.14,5.85,0.29,4.96,20.51,12.593
600837.SH,2001-08-03,6.45,6.45,6.45,6.45,6.14,0.31,5.05,177.5,114.488
600837.SH,2001-08-10,6.77,6.77,6.77,6.77,6.45,0.32,4.96,269.0,182.113
600837.SH,2001-08-17,7.11,7.11,7.11,7.11,6.77,0.34,5.02,227.03,161.418
600837.SH,2001-08-24,7.47,7.47,7.47,7.47,7.11,0.36,5.06,327.49,244.635
600837.SH,2001-09-07,7.84,7.84,7.84,7.84,7.47,0.37,4.95,326.65,256.094
600837.SH,2001-09-14,8.23,8.23,8.23,8.23,7.84,0.39,4.97,600.02,493.816
600837.SH,2001-09-21,8.64,8.64,8.64,8.64,8.23,0.41,4.98,1577.45,1362.917
600837.SH,2001-09-28,9.07,9.07,9.07,9.07,8.64,0.43,4.98,1222.7,1108.989
600837.SH,2001-10-12,9.52,9.52,9.52,9.52,9.07,0.45,4.96,2001.41,1905.342
600837.SH,2001-10-19,10.0,10.0,10.0,10.0,9.52,0.48,5.04,2480.19,2480.19
600837.SH,2001-10-26,10.5,10.5,10.5,10.5,10.0,0.5,5.0,1126.15,1182.458
600837.SH,2001-11-02,11.03,11.03,11.03,11.03,10.5,0.53,5.05,510.1,562.64
600837.SH,2001-11-09,11.58,11.58,11.58,11.58,11.03,0.55,4.99,862.3,998.543
600837.SH,2001-11-16,12.16,12.16,12.16,12.16,11.58,0.58,5.01,2173.23,2642.648
600837.SH,2001-11-23,12.77,12.77,12.77,12.77,12.16,0.61,5.02,5466.58,6980.823
600837.SH,2001-11-30,13.41,13.41,13.41,13.41,12.77,0.64,5.01,4060.38,5444.97
600837.SH,2001-12-07,14.08,14.08,14.08,14.08,13.41,0.67,5.0,5134.34,7229.151
600837.SH,2001-12-14,14.78,14.78,14.78,14.78,14.08,0.7,4.97,2344.34,3464.935
600837.SH,2001-12-21,15.3,15.3,15.3,15.3,14.78,0.52,3.52,3386.0,5180.58
600837.SH,2001-12-28,14.28,14.28,14.28,14.28,15.3,-1.02,-6.67,7560.69,10796.665
600837.SH,2002-01-04,14.51,14.51,14.51,14.51,14.28,0.23,1.61,9085.28,13182.741
600837.SH,2002-01-11,14.61,14.61,14.61,14.61,14.51,0.1,0.69,8254.98,12060.526
600837.SH,2002-01-18,14.0,14.0,14.0,14.0,14.61,-0.61,-4.18,14213.0,19898.2
600837.SH,2002-01-25,14.7,14.7,14.7,14.7,14.0,0.7,5.0,13901.0,20434.47
600837.SH,2002-02-01,15.44,15.44,15.44,15.44,14.7,0.74,5.03,5842.82,9021.314
600837.SH,2002-02-08,16.21,16.21,16.21,16.21,15.44,0.77,4.99,4980.26,8073.001
600837.SH,2002-04-29,17.83,17.83,17.83,17.83,16.21,1.62,9.99,320.1,570.738
600837.SH,2002-04-30,19.61,19.61,19.61,19.61,17.83,1.78,9.98,22.95,45.005
600837.SH,2002-05-08,21.57,21.57,21.57,21.57,19.61,1.96,9.99,68.66,148.1
600837.SH,2002-05-09,23.73,23.73,23.73,23.73,21.57,2.16,10.01,257.12,610.146
600837.SH,2002-05-10,26.1,26.1,26.08,26.1,23.73,2.37,9.99,6519.99,17016.664
600837.SH,2002-05-13,28.71,28.71,28.5,28.71,26.1,2.61,10.0,17625.42,50587.851
600837.SH,2002-05-14,29.98,31.57,28.0,28.26,28.71,-0.45,-1.57,53406.69,159358.822
600837.SH,2002-05-15,26.85,27.79,25.43,25.43,28.26,-2.83,-10.01,32404.21,85137.384
600837.SH,2002-05-16,24.9,25.27,24.35,24.75,25.43,-0.68,-2.67,25013.83,62077.806
600837.SH,2002-05-17,24.8,25.6,22.52,23.42,24.75,-1.33,-5.37,22808.84,53845.138
600837.SH,2002-05-20,23.27,23.88,22.9,23.56,23.42,0.14,0.6,9136.45,21380.098
600837.SH,2002-05-21,24.0,24.68,23.18,24.44,23.56,0.88,3.74,15327.81,36800.7
600837.SH,2002-05-22,24.28,24.3,22.08,22.38,24.44,-2.06,-8.43,14559.43,33500.313
600837.SH,2002-05-23,22.31,23.08,22.12,22.36,22.38,-0.02,-0.09,6790.98,15307.922
600837.SH,2002-05-24,22.4,23.27,22.4,22.75,22.36,0.39,1.74,6107.69,13930.002
600837.SH,2002-05-27,22.81,23.1,21.85,22.18,22.75,-0.57,-2.51,4988.0,11075.391
600837.SH,2002-05-28,22.3,22.48,21.08,21.74,22.18,-0.44,-1.98,4227.3,9282.758
600837.SH,2002-05-29,21.66,21.87,20.9,20.91,21.74,-0.83,-3.82,7141.04,15227.796
600837.SH,2002-05-30,20.92,21.28,20.21,20.69,20.91,-0.22,-1.05,6471.49,13243.086
600837.SH,2002-05-31,20.7,20.89,20.32,20.39,20.69,-0.3,-1.45,3293.3,6765.501
600837.SH,2002-06-03,20.21,20.21,19.51,19.55,20.39,-0.84,-4.12,5366.25,10591.278
